,"en","es","de","it","ja","ko"
"CON_DESC_SA","Press [host] to create the lobby for your server. While in the lobby give your IP address to nymph players so they can join.","Pulse [Alojar] para crear el lobby de su servidor. Mientras estés en el vestíbulo, da tu dirección IP a los jugadores ninfas para que se puedan unir.","Drücken Sie [Spiel hosten], um die Lobby für Ihren Server zu erstellen. In der Lobby geben Sie Ihre IP-Adresse an Nymphspieler weiter, damit diese teilnehmen können.","Premere[Ospita] per creare la lobby del server. Mentre nella lobby dare il vostro indirizzo IP ai giocatori di ninfa in modo che possano unirsi.","[ホスト]を押してロビーを作成します。ニュンペーにあなたの IP アドレスを与えるので、参加することができます。","[호스트]를 눌러 로비를 만듭니다. 다른 님프들이 들어가도록 IP 주소를 제공하십시오."
"CON_DESC_NY","Input the satyr’s IP address and click [join] to enter its server’s lobby.","Introduzca la dirección IP del sátiro y haga clic en [Unirse] para entrar en el lobby de su servidor.","Geben Sie die IP-Adresse des Satyr ein und klicken Sie auf [Teilzunehmen], um in die Lobby des Servers zu gelangen.","Immetti l'indirizzo IP del satiro e fare clic su [Unisciti] per accedere alla lobby del server.","[接続]をクリックしてサテュロスのロビーに入ります","사티로스의 IP 주소를 입력하고 [참가하다]를 클릭하여 서버의 로비에 입장하십시오."
"CON_ERR_A","Invalid name!","¡Nombre inválido!","Ungültiger Name!","Il nome non è valido!","名前が無効です！","이름이 잘못되었습니다."
"CON_ERR_B","Invalid IPv4 address!","IPv4 no válida!","Ungültige IPv4-Adresse!","L'Indirizzo IPv4 non è valido!","IPv4アドレスが無効です！","IPv4 주소가 잘못되었습니다!"
"CON_ERR_C","Connection attempt to IP address","Intento de conexión a IP","Verbindungsversuch zu IP-Adresse","Tentativo di connessione all' indirizzo IP","IPアドレスへの接続試行","IP 주소에 대한 연결 시도"
"CON_ERR_D","Connection failed.","La conexión falló.","Verbindung fehlgeschlagen","Collegamento fallito.","接続に失敗しました。","연결에 실패."
"LOBBY_WAIT","Awaiting players....","Jugadores en espera...","Auf Spieler warten...","In attesa di giocatori...","選手を待っています...","선수들을 기다리고 있습니다 ...."
"LOBBY_SA_IP","Your IP Address is:","Su dirección IP es:","Ihre IP-Adresse ist:","Il tuo indirizzo IP è:","あなたのIPアドレス：","귀하의 IP 주소 :"
"LOBBY_NY_WA","Waiting Satyr to begin game","Esperando a que Satyr empiece el juego","Warten auf Satyr, um das Spiel zu beginnen","In attesa che il satiro inizi la partita","サテュロスがゲームを開始するのを待っている","기다리고 사티로스 게임 시작"
"LOBBY_SA_RET","attempt to retrieve…","intentar recuperar...","versuchst, die...","recuperando....","取得中...","검색하려고 시도 ..."
"LOBBY_DESC_NY","Nymph desription","Desripción de ninfa","Nymphatische Beschreibung","Desrizione ninfa","ニュンペーの説明。","님프의 설명"
"LOBBY_DESC_SA","Satyr Description","Descripción Satyr","Satyr Beschreibung","Descrizione Satyr","サテュロスの説明。","사티로스의 설명"
"NY_SELECT_NAME","Nymph’s name","Nombre de la ninfa","Name der Nymphe","Nome ninfa:","ニンフの名前","님프 이름"
"NY_SELECT_IN_NAME","Nymph","Ninfas","Nymphe","Ninfa","ニュンペー","님프"
"NY_SELECT_SRVNAME","Satyr’s name","Nombre de sátiro","Satyrs Name","Nome satiro","サティールの名前","사티르의 이름"
"NY_SELECT_PLAYERS","connected nymphs","ninfas conectadas","verbundene Nymphen","Ninfe connesse","接続されたニンフ","연결된 님프"
"NY_SELECT_CUSTOM_IP","Custom IP",,,,,
"NY_SELECT_CONNECT","Join","Unirse","Teilzunehmen","Unisciti","接続","참가하다"
"NY_SELECT_RETRIEVE_LIST","Retrieving server list","recuperar lista de servidores","Serverliste abrufen","recupero della lista server","サーバリストの取得","서버 목록 검색 중"
"NY_SELECT_ERROR_A","Select a valid server to connect first","Seleccione un servidor válido para conectarse primero","Wählen Sie einen gültigen Server für die erste Verbindung aus","Selezionare un server valido per connettersi prima","最初に接続する有効なサーバーを選択する","먼저 연결할 올바른 서버를 선택하십시오."
"NYTAB_INFO","Info",,,,,
"NYTAB_SKIN","Skins",,,,,
